"pathway","ligand"
"TGFb","TGFB1"
"TGFb","TGFB2"
"TGFb","TGFB3"
"BMP","BMP2"
"BMP","BMP4"
"BMP","GDF5"
"BMP","GDF6"
"BMP","GDF7"
"BMP","BMP15"
"BMP","BMP5"
"BMP","BMP6"
"BMP","BMP7"
"BMP","BMP8A"
"BMP","BMP8B"
"BMP10","BMP10"
"BMP10","GDF2"
"GDF","GDF9"
"GDF","GDF10"
"GDF","GDF11"
"GDF","GDF15"
"MSTN","MSTN"
"AMH","AMH"
"GDNF","GDNF"
"GDNF","NRTN"
"GDNF","ARTN"
"GDNF","PSPN"
"NODAL","NODAL"
"NODAL","GDF1"
"NODAL","GDF3"
"ACTIVIN","INHBA"
"ACTIVIN","INHBB"
"ACTIVIN","INHBC"
"ACTIVIN","INHBE"
"ACTIVIN","Activin AB"
"ACTIVIN","Inhibin A"
"ACTIVIN","Inhibin B"
"WNT","WNT1"
"WNT","WNT10A"
"WNT","WNT10B"
"WNT","WNT16"
"WNT","WNT2"
"WNT","WNT2B"
"WNT","WNT3"
"WNT","WNT3A"
"WNT","WNT4"
"WNT","WNT6"
"WNT","WNT7A"
"WNT","WNT7B"
"WNT","WNT8A"
"WNT","WNT8B"
"WNT","WNT9A"
"WNT","WNT9B"
"ncWNT","WNT5A"
"ncWNT","WNT5B"
"ncWNT","WNT11"
"EGF","EGF"
"EGF","TGFA"
"EGF","AREG"
"EGF","BTC"
"EGF","HBEGF"
"EGF","EREG"
"NRG","NRG1"
"NRG","NRG2"
"NRG","NRG3"
"NRG","NRG4"
"FGF","FGF1"
"FGF","FGF2"
"FGF","FGF4"
"FGF","FGF5"
"FGF","FGF6"
"FGF","FGF7"
"FGF","FGF3"
"FGF","FGF10"
"FGF","FGF22"
"FGF","FGF8"
"FGF","FGF17"
"FGF","FGF18"
"FGF","FGF9"
"FGF","FGF20"
"FGF","FGF16"
"FGF","FGF19"
"FGF","FGF21"
"FGF","FGF23"
"PDGF","PDGFA"
