"pathway","receptor"
"TGFb","TGFbR1_R2"
"TGFb","ACVR1B_TGFbR2"
"TGFb","ACVR1C_TGFbR2"
"TGFb","ACVR1_TGFbR"
"BMP","BMPR1A_ACVR2A"
"BMP","BMPR1A_ACVR2B"
"BMP","BMPR1A_BMPR2"
"BMP","BMPR1B_ACVR2A"
"BMP","BMPR1B_ACVR2B"
"BMP","BMPR1B_BMPR2"
"BMP","ACVR1_ACVR2A"
"BMP","ACVR1_ACVR2B"
"BMP","ACVR1_BMPR2"
"BMP10","ACVRL1_BMPR2"
"BMP10","ACVRL1_ACVR2A"
"GDF","ACVR1B_BMPR2"
"GDF","ACVR1B_ACVR2A"
"GDF","TGFBR1_ACVR2A"
"GDF","TGFBR1_ACVR2B"
"GDF","ACVR1B_ACVR2B"
"GDF","Tgfbr2"
"AMH","AMHR2_ACVR1"
"AMH","AMHR2_BMPR1A"
"GDNF","GFRA1_RET"
"GDNF","GFRA2_RET"
"GDNF","GFRA3_RET"
"GDNF","GFRA4_RET"
"NODAL","ACVR1B_ACVR2A_CFC1"
"NODAL","ACVR1C_ACVR2A_CFC1"
"NODAL","ACVR1B_ACVR2B_CFC1"
"NODAL","ACVR1C_ACVR2B_CFC1"
"ACTIVIN","ACVR1C_ACVR2A"
"ACTIVIN","ACVR1C_ACVR2B"
"ACTIVIN","Acvr2a"
"ACTIVIN","Acvr2b"
"WNT","FZD1_LRP5"
"WNT","FZD10_LRP5"
"WNT","FZD2_LRP5"
"WNT","FZD3_LRP5"
"WNT","FZD4_LRP5"
"WNT","FZD5_LRP5"
"WNT","FZD6_LRP5"
"WNT","FZD7_LRP5"
"WNT","FZD8_LRP5"
"WNT","FZD9_LRP5"
"WNT","FZD1_LRP6"
"WNT","FZD10_LRP6"
"WNT","FZD2_LRP6"
"WNT","FZD3_LRP6"
"WNT","FZD4_LRP6"
"WNT","FZD5_LRP6"
"WNT","FZD6_LRP6"
"WNT","FZD7_LRP6"
"WNT","FZD8_LRP6"
"WNT","FZD9_LRP6"
"ncWNT","Fzd1"
"ncWNT","Fzd10"
"ncWNT","Fzd2"
"ncWNT","Fzd3"
"ncWNT","Fzd4"
"ncWNT","Fzd5"
"ncWNT","Fzd6"
"ncWNT","Fzd7"
"ncWNT","Fzd8"
"ncWNT","Fzd9"
"ncWNT","Mcam"
"EGF","Egfr"
"EGF","EGFR_ERBB2"
"EGF","Erbb4"
"EGF","ERBB2_ERBB4"
"NRG","Erbb3"
"NRG","ERBB2_ERBB3"
"NRG","ITGAV_ITGB3"
"FGF","Fgfr1"
"FGF","Fgfr2"
"FGF","Fgfr3"
"FGF","Fgfr4"
"PDGF","Pdgfra"
"PDGF","Pdgfrb"
"VEGF","Flt1"
"VEGF","Kdr"
"VEGF","Flt4"
"VEGF","FLT1_KDR"
"VEGF","FLT4_KDR"
"IGF","Igf1r"
"IGF","Igf2r"
"IGF","ITGA6_ITGB4"
"IGF","Igflr1"
"INSULIN","Insr"
"APELIN","Aplnr"
"HH","PTCH1_SMO"
"HH","PTCH2_SMO"
"CCL","Ccr1"
"CCL","Ccr1l1"
"CCL","Ccr2"
"CCL","Ccr3"
"CCL","Ccr4"
"CCL","Ccr5"
"CCL","Ccr6"
"CCL","Ccr7"
"CCL","Ackr4"
"CCL","Ccr8"
"CCL","Ccr9"
"CCL","Ccr10"
"CCL","Ackr1"
"CCL","Ackr2"
"CXCL","Cxcr1"
"CXCL","Cxcr2"
"CXCL","Cxcr3"
"CXCL","Cxcr4"
"CXCL","Ackr3"
"CXCL","Cxcr5"
"CXCL","Cxcr6"
"MIF","CD74_CXCR4"
"MIF","CD74_CD44"
"MIF","CD74_CXCR2"
"CX3C","Cx3cr1"
"XCR","Xcr1"
"IL2","IL2RA_IL2RB"
"IL2","IL2RB_IL2RG"
"IL2","IL4R_IL2RG"
